arquitetura,n,accuracy_media,accuracy_dp,macro_f1_media,macro_f1_dp,tempo_medio_min
MobileNetV3,20,94.577,0.891,87.709,2.271,46.44
ResNet50,20,94.466,1.635,88.174,2.731,66.19
